V1,V2,V3,V4
right,right,left,left
left,left,left,right
right,right,left,right
left,left,right,left
left,left,left,right
right,left,right,right
right,right,right,left
left,right,right,left
right,right,left,left
left,left,left,right
right,right,left,right
left,left,right,left
left,left,left,right
right,left,right,right
right,right,right,left
left,right,right,left
right,right,left,left
left,left,left,right
right,right,left,right
left,left,right,left
left,left,left,right
right,left,right,right
right,right,right,left
left,right,right,left
right,right,left,left
left,left,left,right
right,right,left,right
left,left,right,left
left,left,left,right
right,left,right,right
right,right,right,left
left,right,right,left
